raceId,circuitId,constructorId,driverId,year,lap,tire_age,milliseconds
1,1,3,3,2009,38,38,89737
1,1,3,3,2009,39,39,89748
1,1,3,3,2009,40,40,90112
1,1,3,3,2009,41,41,90626
1,1,3,3,2009,42,42,88957
1,1,3,3,2009,43,43,88728
1,1,3,3,2009,44,44,106312
1,1,3,3,2009,45,45,95294
1,1,3,3,2009,46,46,89168
1,1,3,3,2009,47,47,88506
1,1,3,3,2009,48,48,87706
1,1,3,3,2009,49,49,88803
1,1,3,3,2009,50,50,90277
1,1,3,3,2009,51,51,91532
1,1,3,3,2009,52,52,91400
1,1,3,3,2009,53,53,94441
1,1,3,3,2009,54,54,96161
1,1,3,3,2009,55,55,93169
1,1,3,3,2009,56,56,123117
1,1,3,3,2009,57,57,116092
1,1,3,3,2009,58,58,150911
1,1,4,4,2009,1,1,109367
1,1,4,4,2009,2,2,94983
1,1,4,4,2009,3,3,92175
1,1,4,4,2009,4,4,93114
1,1,4,4,2009,5,5,91831
1,1,4,4,2009,6,6,91556
1,1,4,4,2009,7,7,91683
1,1,4,4,2009,8,8,91290
1,1,4,4,2009,9,9,91083
1,1,4,4,2009,10,10,91569
1,1,4,4,2009,11,11,90944
1,1,4,4,2009,12,12,90522
1,1,4,4,2009,13,13,90503
1,1,4,4,2009,14,14,90914
1,1,4,4,2009,15,15,90718
1,1,4,4,2009,16,16,90863
1,1,4,4,2009,17,17,90746
1,1,4,4,2009,18,18,92498
1,1,4,4,2009,19,19,131126
1,1,4,4,2009,20,20,111011
1,1,4,4,2009,21,21,95702
1,1,4,4,2009,22,22,153045
1,1,4,4,2009,23,23,152290
1,1,4,4,2009,24,24,135567
1,1,4,4,2009,25,25,97840
1,1,4,4,2009,26,26,91912
1,1,4,4,2009,27,27,91215
1,1,4,4,2009,28,28,90771
1,1,4,4,2009,29,29,90595
1,1,4,4,2009,30,30,90132
1,1,4,4,2009,31,31,89646
1,1,4,4,2009,32,32,89993
1,1,4,4,2009,33,33,89684
1,1,4,4,2009,34,34,89466
1,1,4,4,2009,35,35,89714
1,1,4,4,2009,36,36,89539
1,1,4,4,2009,37,37,89778
1,1,4,4,2009,38,38,89744
1,1,4,4,2009,39,39,90436
1,1,4,4,2009,40,40,91106
1,1,4,4,2009,41,41,90373
1,1,4,4,2009,42,42,90751
1,1,4,4,2009,43,43,90230
1,1,4,4,2009,44,44,90181
1,1,4,4,2009,45,45,90160
1,1,4,4,2009,46,46,90003
1,1,4,4,2009,47,47,90115
1,1,4,4,2009,48,48,89933
1,1,4,4,2009,49,49,89695
1,1,4,4,2009,50,50,89451
1,1,4,4,2009,51,51,107303
1,1,4,4,2009,52,52,96483
1,1,4,4,2009,53,53,88712
1,1,4,4,2009,54,54,88724
1,1,4,4,2009,55,55,89171
1,1,4,4,2009,56,56,124117
1,1,4,4,2009,57,57,118145
1,1,4,4,2009,58,58,150445
1,1,3,6,2009,1,1,104899
1,1,3,6,2009,2,2,92734
1,1,3,6,2009,3,3,92684
1,1,3,6,2009,4,4,90952
1,1,3,6,2009,5,5,90152
1,1,3,6,2009,6,6,89923
1,1,3,6,2009,7,7,90057
1,1,3,6,2009,8,8,90173
1,1,3,6,2009,9,9,90965
1,1,3,6,2009,10,10,92313
1,1,3,6,2009,11,11,90804
1,1,3,6,2009,12,12,91343
1,1,3,6,2009,13,13,90955
1,1,3,6,2009,14,14,91152
1,1,3,6,2009,15,15,90596
1,1,3,6,2009,16,16,90558
1,1,3,6,2009,17,17,90718
1,1,5,7,2009,1,1,108449
1,1,5,7,2009,2,2,94838
1,1,5,7,2009,3,3,92533
1,1,5,7,2009,4,4,93542
1,1,5,7,2009,5,5,92565
1,1,5,7,2009,6,6,93294
1,1,5,7,2009,7,7,90891
1,1,5,7,2009,8,8,91645
1,1,5,7,2009,9,9,112298
1,1,5,7,2009,10,10,100160
1,1,5,7,2009,11,11,92657
1,1,5,7,2009,12,12,91903
1,1,5,7,2009,13,13,91270
1,1,5,7,2009,14,14,91029
1,1,5,7,2009,15,15,92971
1,1,5,7,2009,16,16,91456
1,1,5,7,2009,17,17,90464
1,1,5,7,2009,18,18,95025
1,1,5,7,2009,19,19,105196
1,1,5,7,2009,20,20,101744
